index,country,name,full_name,symbol,currency,class,market
532,china,FTSE China Forestry Paper JPY,FTSE China Forestry Paper JPY,FTWICHN1730Y,JPY,other_indices,global_indices
533,china,FTSE China Forestry Paper USD,FTSE China Forestry Paper USD,FTWICHN1730U,USD,other_indices,global_indices
534,china,FTSE China Forestry Paper EUR,FTSE China Forestry Paper EUR,FTWICHN1730E,EUR,other_indices,global_indices
535,china,FTSE China General Industrials EUR,FTSE China General Industrials EUR,FTWICHN2720E,EUR,other_indices,global_indices
536,china,FTSE China Health Care GBP,FTSE China Health Care GBP,FTWICHN4000S,GBP,other_indices,global_indices
537,china,FTSE China Household Goods EUR,FTSE China Household Goods EUR,FTWICHN3720E,EUR,other_indices,global_indices
538,china,FTSE China Household Goods USD,FTSE China Household Goods USD,FTWICHN3720U,USD,other_indices,global_indices
539,china,FTSE China Life Insurance EUR,FTSE China Life Insurance EUR,FTWICHN8570E,EUR,other_indices,global_indices
540,china,FTSE China Industrials GBP,FTSE China Industrials GBP,FTWICHN2000S,GBP,other_indices,global_indices
541,china,FTSE China Industrials JPY,FTSE China Industrials JPY,FTWICHN2000Y,JPY,other_indices,global_indices
542,china,FTSE China Industrials USD,FTSE China Industrials USD,FTWICHN2000U,USD,other_indices,global_indices
543,china,FTSE China Industrials EUR,FTSE China Industrials EUR,FTWICHN2000E,EUR,other_indices,global_indices
544,china,FTSE China Industrial TransportaGBP,FTSE China Industrial TransportaGBP,FTWICHN2770S,GBP,other_indices,global_indices
545,china,FTSE China Industrial TransportaJPY,FTSE China Industrial TransportaJPY,FTWICHN2770Y,JPY,other_indices,global_indices
546,china,FTSE China Industrial TransportaUSD,FTSE China Industrial TransportaUSD,FTWICHN2770U,USD,other_indices,global_indices
547,china,FTSE China Industrial TransportaEUR,FTSE China Industrial TransportaEUR,FTWICHN2770E,EUR,other_indices,global_indices
548,china,FTSE China Industrial Metals GBP,FTSE China Industrial Metals GBP,FTWICHN1750S,GBP,other_indices,global_indices
549,china,FTSE China Industrial Metals JPY,FTSE China Industrial Metals JPY,FTWICHN1750Y,JPY,other_indices,global_indices
550,china,FTSE China Industrial Metals USD,FTSE China Industrial Metals USD,FTWICHN1750U,USD,other_indices,global_indices
551,china,FTSE China Industrial Metals EUR,FTSE China Industrial Metals EUR,FTWICHN1750E,EUR,other_indices,global_indices
552,china,FTSE China Industrial Engineerin GBP,FTSE China Industrial Engineerin GBP,FTWICHN2750S,GBP,other_indices,global_indices
553,china,FTSE China Industrial Engineerin JPY,FTSE China Industrial Engineerin JPY,FTWICHN2750Y,JPY,other_indices,global_indices
554,china,FTSE China Industrial Engineerin USD,FTSE China Industrial Engineerin USD,FTWICHN2750U,USD,other_indices,global_indices
555,china,FTSE China Industrial Engineerin EUR,FTSE China Industrial Engineerin EUR,FTWICHN2750E,EUR,other_indices,global_indices
556,china,FTSE China Household Goods GBP,FTSE China Household Goods GBP,FTWICHN3720S,GBP,other_indices,global_indices
557,china,FTSE China Household Goods JPY,FTSE China Household Goods JPY,FTWICHN3720Y,JPY,other_indices,global_indices
558,china,FTSE China Life Insurance JPY,FTSE China Life Insurance JPY,FTWICHN8570Y,JPY,other_indices,global_indices
559,china,SME-Chinext 100 Price,SME-Chinext 100 Price,SZSC100P,CNY,other_indices,world_indices
560,china,FTSE China Telecommunication GBP,FTSE China Telecommunication GBP,FTWICHN6000S,GBP,other_indices,global_indices
561,china,FTSE China Travel Leisure USD,FTSE China Travel Leisure USD,FTWICHN5750U,USD,other_indices,global_indices
562,china,FTSE Greater China Total Return GBP,FTSE Greater China Total Return GBP,TFTAWGCHIS,GBP,other_indices,global_indices
563,china,FTSE Greater China Total Return JPY,FTSE Greater China Total Return JPY,TFTAWGCHIY,JPY,other_indices,global_indices
564,china,FTSE China A 200 Composite,FTSE China A 200 Composite,FTFXC200B,CNY,other_indices,global_indices
565,china,FTSE Greater China Small Cap YEN,FTSE Greater China Small Cap YEN,FTSCGCHIY,JPY,other_indices,global_indices
566,china,FTSE Greater China Small Cap EURO,FTSE Greater China Small Cap EURO,FTSCGCHIE,EUR,other_indices,global_indices
567,china,FTSE Greater China Small Cap GBP,FTSE Greater China Small Cap GBP,FTSCGCHIS,GBP,other_indices,global_indices
568,china,FTSE GREATER CHINA SMALL CAP USD,FTSE GREATER CHINA SMALL CAP USD,FTSCGCHIU,USD,other_indices,global_indices
569,china,FTSE AW China Total Return JPY,FTSE AW China Total Return JPY,TFTWICHNY,JPY,other_indices,global_indices
570,china,FTSE Greater China Total Return USD,FTSE Greater China Total Return USD,TFTAWGCHIU,USD,other_indices,global_indices
571,china,FTSE AW China Total Return GBP,FTSE AW China Total Return GBP,TFTWICHNS,GBP,other_indices,global_indices
572,china,FTSE AW China Total Return EUR,FTSE AW China Total Return EUR,TFTWICHNE,EUR,other_indices,global_indices
573,china,FTSE Global Equity Series Wi China EURO,FTSE Global Equity Series Wi China EURO,FTSCHNE,EUR,other_indices,global_indices
574,china,FTSE Global Equity Series Wi China YEN,FTSE Global Equity Series Wi China YEN,FTSCHNY,JPY,other_indices,global_indices
575,china,FTSE Intl All-World Country Indices - China USD,FTSE Intl All-World Country Indices - China USD,FTWICHNU,USD,other_indices,global_indices
576,china,FTSE Global Equity Series Wi China GBP,FTSE Global Equity Series Wi China GBP,FTSCHNS,GBP,other_indices,global_indices
577,china,FTSE CHINA SMALL CAP USD,FTSE CHINA SMALL CAP USD,FTSCHNU,USD,other_indices,global_indices
578,china,FTSE China 50,FTSE China 50,FTXIN0H,HKD,other_indices,global_indices
579,china,FTSE China HY150 TR HKD,FTSE China HY150 TR HKD,TFTXH150H,HKD,other_indices,global_indices
580,china,FTSE AW China Total Return USD,FTSE AW China Total Return USD,TFTWICHNU,USD,other_indices,global_indices
581,china,FTSE Greater China Total Return EUR,FTSE Greater China Total Return EUR,TFTAWGCHIE,EUR,other_indices,global_indices
582,china,FTSE Global All Cap ex Canada China A Inclusion Ne,FTSE Global All Cap ex Canada China A Inclusion Net Tax PR,FTFQACXCNC,CAD,other_indices,global_indices
583,china,FT V China A TR,FT V China A TR,TFTGPVP009H,HKD,other_indices,global_indices
584,china,FTSE China Alternative Energy Price EUR,FTSE China Alternative Energy Price EUR,FTWICHN0580E,EUR,other_indices,global_indices
585,china,FTSE China Alternative Energy Price GBP,FTSE China Alternative Energy Price GBP,FTWICHN0580S,GBP,other_indices,global_indices
586,china,FTSE China Alternative Energy Price JPY,FTSE China Alternative Energy Price JPY,FTWICHN0580Y,JPY,other_indices,global_indices
